Wall time,Step,Value
1657045557.694494,0,9.999999747378752e-06
1657046239.745988,1,9.999999747378752e-06
1657046851.856766,2,9.999999747378752e-06
1657047394.653419,3,9.999999747378752e-06
1657047925.297327,4,9.999999747378752e-06
1657048426.414059,5,9.999999747378752e-06
1657048929.097755,6,9.999999747378752e-06
1657049430.467918,7,9.999999747378752e-06
1657049930.298618,8,9.999999747378752e-06
1657078243.20416,9,9.999999747378752e-06
1657079774.375021,10,9.999999747378752e-06
1657080324.820122,11,9.999999747378752e-06
1657080826.018775,12,9.999999747378752e-06
1657081327.716395,13,9.999999747378752e-06
1657081830.206606,14,9.999999747378752e-06
1657082332.20669,15,9.999999747378752e-06
1657082834.289794,16,9.999999747378752e-06
1657083334.735907,17,9.999999974752427e-07
1657083835.596027,18,9.999999974752427e-07
1657084335.315615,19,9.999999974752427e-07
1657084835.547081,20,9.999999974752427e-07
1657085335.514552,21,9.999999974752427e-07
1657085835.399254,22,9.999999974752427e-07
1657086336.8927717,23,9.999999974752427e-07
1657086837.073567,24,9.999999974752427e-07
1657087338.073594,25,9.999999974752427e-07
1657090061.936052,26,9.999999974752427e-07
1657092994.901184,27,9.999999974752427e-07
1657093933.853834,28,1.0000000116860974e-07
1657095685.706183,29,1.0000000116860974e-07
1657105822.419646,30,1.0000000116860974e-07
1657106322.071022,31,9.99999993922529e-09
1657106821.301134,32,9.99999993922529e-09
1657107329.228954,33,9.99999993922529e-09
1657107828.7783942,34,9.99999993922529e-09
1657108329.468315,35,9.999999717180685e-10
1657108831.075494,36,9.999999717180685e-10
1657109332.487836,37,9.999999439624929e-11
1657109833.42238,38,9.999999439624929e-11
1657110334.029916,39,9.999999092680234e-12
1657110835.34163,40,9.999999092680234e-12
1657111335.597312,41,9.9999988758398e-13
1657111836.021273,42,9.9999988758398e-13
1657112337.215635,43,9.999999146890343e-14
1657112838.399805,44,9.999999146890343e-14
1657116303.7043421,45,9.999998977483753e-15
1657116803.9796,46,9.999998977483753e-15
1657117304.304041,47,9.999998977483753e-16
1657117805.261983,48,9.999998977483753e-16
1657118307.561997,49,9.999998845134855e-17
